Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
АМУР;20030900212118100000012 / 118100001;р.Амур - г.Николаевск;5805;48;1850000;-1.1;БС 77;13.01.1900;Действует;Дальневосточное УГМС;53.11;140.69
протока Новый Амур (пр. Мариинская);20030900212018100078947 / 118107894;р.Амур,протока Мариинская - с.Мариинское;5031;326;1770000;3.33;БС 77;16.05.1900;Действует;Дальневосточное УГМС;51.71;140.18
Унжа;08010300312110000014368 / 110001436;р. Унжа - г.Кологрив;75284;262;11500;109.15;БС;18.08.1900;Действует;Центральное УГМС;58.82072;44.31432
Читинка (Чита);20030100112118100010413 / 118101041;р.Читинка(Чита) - г.Чита;6159;5.5;4170;641.39;БС 77;01.04.1901;Действует;Забайкальское УГМС;52.03507;113.48333
Онон;20030100312118100003482 / 118100348;р.Онон - пгт Оловянная;6084;138;75100;560.04;БС 77;16.05.1901;Действует;Забайкальское УГМС;50.94575;115.59801
Нерча;20030100412118100012629 / 118101262;р.Нерча - г.Нерчинск;6187;10;27500;465.89;БС 77;23.05.1901;Действует;Забайкальское УГМС;51.95936;116.572
;;ОЗ. СЕЛИГЕР - Г. ОСТАШКОВ;3901464;;2310;204.7;БС;14.01.1902;Действует;Центральное УГМС;57.13;33.1
;;ОЗ.СЕЛИГЕР - С.ПОЛНОВО;3901499;;2310;204.53;БС;14.01.1902;Действует;Северо-Западное УГМС;57.53;32.97
Терек (Старый Терек);07020000412108200002513 / 108200251;р.Терек - ст-ца Котляревская;84119;437;8920;212.82;БС;01.04.1902;Действует;Северо-Кавказское УГМС;43.58;44.08
Малка (Балык-Су);07020000812108200004118 / 108200411;р.Малка - ст.Прохладная;84200;24;9820;181.21;БС;28.04.1902;Действует;Северо-Кавказское УГМС;43.75;44.05
Сунжа;07020001112108200005420 / 108200542;р.Сунжа - г.Грозный;84256;86;4820;118.91;БС;28.04.1902;Действует;Северо-Кавказское УГМС;43.3;45.7
ЕНИСЕЙ;17010400112116100000014 / 116100001;р.Енисей - г.Енисейск;9079;2054;1400000;64.78;БС 77;28.06.1902;Действует;Среднесибирское УГМС;58.45;92.15
ЕНИСЕЙ;17010300512116100000014 / 116100001;р.Енисей - г.Красноярск;9055;2462;300000;134.26;БС 77;04.09.1902;Действует;Среднесибирское УГМС;56.01;92.88
Великая;01030000212102000027628 / 102002762;Р.ВЕЛИКAЯ - Г.ПСКOВ;72665;19.6;24000;29.26;БС;17.10.1902;Действует;Северо-Западное УГМС;57.80802;28.33004
ЕНИСЕЙ;17010300512116100000014 / 116100001;р.Енисей - с.Казачинское;9071;2202;353000;82.96;БС;14.11.1902;Действует;Среднесибирское УГМС;57.68;93.28
Кубань;06020001412108000001090 / 108100109;р.Кубань - г.Краснодар;83183;226;45900;15.69;БС;14.01.1903;Действует;Северо-Кавказское УГМС;45.01;38.98
ЗЕЯ;20030400412118100022394 / 118102239;р.Зея - с.Мазаново;6286;271;198000;152.98;БС 77;19.03.1903;Действует;Дальневосточное УГМС;51.63454;128.83068
ЗЕЯ;20030400412118100022394 / 118102239;р.Зея - г.Благовещенск;6296;3;233000;119.74;БС 77;25.04.1903;Действует;Дальневосточное УГМС;50.26083;127.58001
Ветлуга;08010400212110000040560 / 110004056;Р.ВЕТЛУГА - ПГТ ВАРНАВИНО;75677;261;26800;76.13;БС;30.04.1903;Действует;Верхне-Волжское УГМС;57.4;45.1
Ветлуга;08010400212110000040560 / 110004056;Р.ВЕТЛУГА - ПГТ ВОСКРЕСЕНСКОЕ;75680;164;34300;69;БС;02.05.1903;Действует;Верхне-Волжское УГМС;56.83;45.45
Аргунь (Хайлар);20030200112118100000022 / 118100002;р.Аргунь - с.Новоцурухайтуй;6038;603;96000;503.56;БС 77;01.05.1904;Действует;Забайкальское УГМС;50.4;119.13
ДОН;05010500912107000000014 / 107000001;p.Дон - ст-ца Багаевская;78803;112;378000;0.84;БС 77;14.10.1904;Действует;Северо-Кавказское УГМС;47.33;40.38
